code,code,name,network,elevation_m,site_property,GEO_ID,STATE,NAME,LSAD,CENSUSAREA,geometry,x,y,depth,anomoly
301_CA_SNTL,301_CA_SNTL,Adin Mtn,SNOTEL,1886.7120361328125,"{'county': 'Modoc', 'state': 'California', 'site_comments': 'beginDate=10/1/1983 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=180200021403|HUD=18020002|TimeZone=-8.0|actonId=20H13S|shefId=ADMC1|stationTriplet=301:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.79192352294922 41.2358283996582),-120.79192352294922,41.2358283996582,13.0,-7.75
356_CA_SNTL,356_CA_SNTL,Blue Lakes,SNOTEL,2458.821533203125,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=180400120101|HUD=18040012|TimeZone=-8.0|actonId=19L05S|shefId=BLAC1|stationTriplet=356:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.92436981201172 38.608001708984375),-119.92436981201172,38.608001708984375,36.0,-8.833333333333336
1051_CA_SNTL,1051_CA_SNTL,Burnside Lake,SNOTEL,2477.71923828125,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/2003 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010107|HUD=16050201|TimeZone=-8.0|actonId=19L41S|shefId=BSKC1|stationTriplet=1051:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.89420318603516 38.71942901611328),-119.89420318603516,38.71942901611328,29.0,-12.368421052631582
977_CA_SNTL,977_CA_SNTL,Crowder Flat,SNOTEL,1575.8160400390625,"{'county': 'Modoc', 'state': 'California', 'site_comments': 'beginDate=10/1/1999 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=180102040103|HUD=18020001|TimeZone=-8.0|actonId=20H02S|shefId=CRWC1|stationTriplet=977:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.75202178955078 41.89318084716797),-120.75202178955078,41.89318084716797,0.0,-1.2173913043478262
462_CA_SNTL,462_CA_SNTL,Ebbetts Pass,SNOTEL,2639.872802734375,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010104|HUD=16050201|TimeZone=-8.0|actonId=19L19S|shefId=EBTC1|stationTriplet=462:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.80467987060547 38.54970169067383),-119.80467987060547,38.54970169067383,40.0,-12.545454545454547
463_CA_SNTL,463_CA_SNTL,Echo Peak,SNOTEL,2332.634521484375,"{'county': 'El Dorado', 'state': 'California', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501010303|HUD=16050101|TimeZone=-8.0|actonId=20L06S|shefId=ECOC1|stationTriplet=463:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.07949829101562 38.8489990234375),-120.07949829101562,38.8489990234375,40.0,-13.0
473_CA_SNTL,473_CA_SNTL,Fallen Leaf,SNOTEL,1902.5616455078125,"{'county': 'El Dorado', 'state': 'California', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501010401|HUD=16050101|TimeZone=-8.0|actonId=20L10S|shefId=FLFC1|stationTriplet=473:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-120.05449676513672 38.93402862548828),-120.05449676513672,38.93402862548828,0.0,-7.909090909090909
1049_CA_SNTL,1049_CA_SNTL,Forestdale Creek,SNOTEL,2443.58154296875,"{'county': 'Alpine', 'state': 'California', 'site_comments': 'beginDate=10/1/2003 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160502010301|HUD=16050201|TimeZone=-8.0|actonId=19L43S|shefId=FDCC1|stationTriplet=1049:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.95970153808594 38.68244934082031),-119.95970153808594,38.68244934082031,54.0,-7.94736842105263
508_CA_SNTL,508_CA_SNTL,Hagans Meadow,SNOTEL,2359.76171875,"{'county': 'El Dorado', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501010302|HUD=16050101|TimeZone=-8.0|actonId=19L03S|shefId=HGNC1|stationTriplet=508:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.9374008178711 38.851898193359375),-119.9374008178711,38.851898193359375,13.0,-10.625
518_CA_SNTL,518_CA_SNTL,Heavenly Valley,SNOTEL,2601.1630859375,"{'county': 'El Dorado', 'state': 'California', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160501010302|HUD=16050101|TimeZone=-8.0|actonId=19L24S|shefId=HVNC1|stationTriplet=518:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US06,06,California,,155779.22,POINT (-119.91641235351562 38.92430877685547),-119.91641235351562,38.92430877685547,34.0,-14.043478260869563
