,code,name,network,elevation_m,site_property,GEO_ID_1,STATE_1,NAME_1,LSAD_1,CENSUSAREA_1,x,y,depth,anomoly,GEO_ID_2,STATE_2,NAME_2,LSAD_2,CENSUSAREA_2,geometry
0,303_CO_SNTL,Apishapa,SNOTEL,3048.0,"{'county': 'Huerfano', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=110200060406|HUD=11020007|TimeZone=-8.0|actonId=05M07S|shefId=APSC2|stationTriplet=303:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,494021.1381316797,4131552.2615331057,13.0,-14.625,0400000US08,08,Colorado,,103641.888,POINT (494021.1381316797 4131552.2615331057)
1,1030_CO_SNTL,Arapaho Ridge,SNOTEL,3340.60791015625,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=8/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010604|HUD=14010001|TimeZone=-8.0|actonId=06J08S|shefId=ARPC2|stationTriplet=1030:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,382686.7944564046,4467629.385180159,63.0,-11.099999999999994,0400000US08,08,Colorado,,103641.888,POINT (382686.7944564046 4467629.385180159)
2,327_CO_SNTL,Beartown,SNOTEL,3535.679931640625,"{'county': 'Mineral', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100010104|HUD=13010001|TimeZone=-8.0|actonId=07M32S|shefId=BRTC2|stationTriplet=327:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,278570.73907705245,4177063.848408556,48.0,-6.863636363636367,0400000US08,08,Colorado,,103641.888,POINT (278570.73907705245 4177063.848408556)
3,1041_CO_SNTL,Beaver Ck Village,SNOTEL,2590.800048828125,"{'county': 'Eagle', 'state': 'Colorado', 'site_comments': 'beginDate=11/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100030301|HUD=14010003|TimeZone=-8.0|actonId=06K45S|shefId=BCVC2|stationTriplet=1041:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,370231.5092633892,4384361.762084835,23.0,-15.631578947368421,0400000US08,08,Colorado,,103641.888,POINT (370231.5092633892 4384361.762084835)
4,335_CO_SNTL,Berthoud Summit,SNOTEL,3444.239990234375,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=9/1/1963 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010202|HUD=14010001|TimeZone=-8.0|actonId=05K14S|shefId=BTSC2|stationTriplet=335:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,433409.3742220386,4406284.0996048795,64.0,-20.9,0400000US08,08,Colorado,,103641.888,POINT (433409.3742220386 4406284.0996048795)
5,345_CO_SNTL,Bison Lake,SNOTEL,3316.22412109375,"{'county': 'Garfield', 'state': 'Colorado', 'site_comments': 'beginDate=9/30/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100011401|HUD=14010005|TimeZone=-8.0|actonId=07K12S|shefId=BLSC2|stationTriplet=345:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,298124.4909016259,4404317.178406233,66.0,-15.439999999999998,0400000US08,08,Colorado,,103641.888,POINT (298124.4909016259 4404317.178406233)
6,369_CO_SNTL,Brumley,SNOTEL,3230.8798828125,"{'county': 'Lake', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=110200010101|HUD=11020001|TimeZone=-8.0|actonId=06K40S|shefId=BRMC2|stationTriplet=369:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,366662.84785011015,4327635.797721462,34.0,-22.263157894736842,0400000US08,08,Colorado,,103641.888,POINT (366662.84785011015 4327635.797721462)
7,938_CO_SNTL,Buckskin Joe,SNOTEL,3398.52001953125,"{'county': 'Park', 'state': 'Colorado', 'site_comments': 'beginDate=8/10/1998 9:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900010102|HUD=10190001|TimeZone=-8.0|actonId=06K16S|shefId=BUCC2|stationTriplet=938:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,404029.42829037126,4351047.828921781,38.0,-14.565217391304351,0400000US08,08,Colorado,,103641.888,POINT (404029.42829037126 4351047.828921781)
8,913_CO_SNTL,Buffalo Park,SNOTEL,2816.35205078125,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=9/1/1995 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010706|HUD=14010001|TimeZone=-8.0|actonId=06J18S|shefId=BUFC2|stationTriplet=913:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,364279.3348753168,4454351.745823601,32.0,-21.25,0400000US08,08,Colorado,,103641.888,POINT (364279.3348753168 4454351.745823601)
9,378_CO_SNTL,Burro Mountain,SNOTEL,2865.1201171875,"{'county': 'Rio Blanco', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500050302|HUD=14050005|TimeZone=-8.0|actonId=07K02S|shefId=BURC2|stationTriplet=378:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,277772.4741592024,4417121.109364296,34.0,-13.649999999999999,0400000US08,08,Colorado,,103641.888,POINT (277772.4741592024 4417121.109364296)
10,380_CO_SNTL,Butte,SNOTEL,3096.76806640625,"{'county': 'Gunnison', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200010206|HUD=14020001|TimeZone=-8.0|actonId=06L11S|shefId=BUTC2|stationTriplet=380:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,330627.7811174394,4306863.144502565,32.0,-17.299999999999997,0400000US08,08,Colorado,,103641.888,POINT (330627.7811174394 4306863.144502565)
11,408_CO_SNTL,Columbine,SNOTEL,2791.968017578125,"{'county': 'Jackson', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101800010102|HUD=10180001|TimeZone=-8.0|actonId=06J03S|shefId=COLC2|stationTriplet=408:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,363865.12291649985,4472812.59702626,46.0,-18.549999999999997,0400000US08,08,Colorado,,103641.888,POINT (363865.12291649985 4472812.59702626)
12,409_CO_SNTL,Columbine Pass,SNOTEL,2865.1201171875,"{'county': 'Montrose', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140200050202|HUD=14020005|TimeZone=-8.0|actonId=08L02S|shefId=CPSC2|stationTriplet=409:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,204680.16753082373,4257609.4009082215,31.0,-20.368421052631582,0400000US08,08,Colorado,,103641.888,POINT (204680.16753082373 4257609.4009082215)
13,904_CO_SNTL,Columbus Basin,SNOTEL,3287.26806640625,"{'county': 'La Plata', 'state': 'Colorado', 'site_comments': 'beginDate=8/30/1994 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140801050101|HUD=14080105|TimeZone=-8.0|actonId=08M10S|shefId=CMBC2|stationTriplet=904:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,232427.22613596654,4148143.727000163,64.0,-12.086956521739125,0400000US08,08,Colorado,,103641.888,POINT (232427.22613596654 4148143.727000163)
14,426_CO_SNTL,Crosho,SNOTEL,2773.679931640625,"{'county': 'Rio Blanco', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500010106|HUD=14050001|TimeZone=-8.0|actonId=07J04S|shefId=CRSC2|stationTriplet=426:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,324795.53236376646,4448372.395362874,22.0,-15.850000000000001,0400000US08,08,Colorado,,103641.888,POINT (324795.53236376646 4448372.395362874)
15,430_CO_SNTL,Culebra #2,SNOTEL,3200.39990234375,"{'county': 'Costilla', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130100020902|HUD=13010002|TimeZone=-8.0|actonId=05M03S|shefId=CULC2|stationTriplet=430:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,482289.85641895456,4118126.3796099317,33.0,-21.578947368421055,0400000US08,08,Colorado,,103641.888,POINT (482289.85641895456 4118126.3796099317)
16,431_CO_SNTL,Cumbres Trestle,SNOTEL,3060.19189453125,"{'county': 'Conejos', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130201020203|HUD=13020102|TimeZone=-8.0|actonId=06M22S|shefId=CUMC2|stationTriplet=431:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,370853.3865001106,4097940.9068533736,60.0,-15.700000000000003,0400000US08,08,Colorado,,103641.888,POINT (370853.3865001106 4097940.9068533736)
17,438_CO_SNTL,Deadman Hill,SNOTEL,3115.055908203125,"{'county': 'Larimer', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900070502|HUD=10190007|TimeZone=-8.0|actonId=05J06S|shefId=DDMC2|stationTriplet=438:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,435057.8198302608,4517474.530774527,61.0,-16.684210526315788,0400000US08,08,Colorado,,103641.888,POINT (435057.8198302608 4517474.530774527)
18,457_CO_SNTL,Dry Lake,SNOTEL,2560.320068359375,"{'county': 'Routt', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500010409|HUD=14050001|TimeZone=-8.0|actonId=06J01S|shefId=DRLC2|stationTriplet=457:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,349135.6282468635,4488549.775379975,40.0,-17.653846153846153,0400000US08,08,Colorado,,103641.888,POINT (349135.6282468635 4488549.775379975)
19,936_CO_SNTL,Echo Lake,SNOTEL,3230.8798828125,"{'county': 'Clear Creek', 'state': 'Colorado', 'site_comments': 'beginDate=8/10/1998 8:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=101900020801|HUD=10190002|TimeZone=-8.0|actonId=05K27S|shefId=ECLC2|stationTriplet=936:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,449089.8227903781,4389775.8454851825,37.0,-15.166666666666668,0400000US08,08,Colorado,,103641.888,POINT (449089.8227903781 4389775.8454851825)
20,465_CO_SNTL,El Diente Peak,SNOTEL,3048.0,"{'county': 'Dolores', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140300020202|HUD=14030002|TimeZone=-8.0|actonId=08M06S|shefId=EDSC2|stationTriplet=465:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}",0400000US08,08,Colorado,,103641.888,233916.2735972305,4186391.816578232,24.0,-11.81818181818182,0400000US08,08,Colorado,,103641.888,POINT (233916.2735972305 4186391.816578232)
